date,stock_id,stock_name,open,high,low,close,volume
2026-04-14,2330,台積電,824.5,834.3,819.0,830.7,21949
2026-04-15,2330,台積電,821.9,834.3,819.7,829.1,17978
2026-04-16,2330,台積電,836.3,838.9,825.5,829.4,18527
2026-04-17,2330,台積電,825.6,836.9,824.9,829.4,33567
2026-04-21,2330,台積電,840.0,844.8,824.2,835.2,22718
2026-04-22,2330,台積電,834.3,846.9,830.5,838.8,25291
2026-04-23,2330,台積電,832.5,846.1,832.1,842.3,21375
2026-04-24,2330,台積電,843.3,846.6,842.7,844.7,25197
2026-04-25,2330,台積電,853.5,859.2,851.3,855.0,37299
2026-04-14,2317,鴻海,166.9,168.1,163.9,166.4,141987
2026-04-15,2317,鴻海,167.3,169.4,164.9,167.3,147088
2026-04-16,2317,鴻海,168.1,168.9,165.7,167.0,103725
2026-04-17,2317,鴻海,166.5,166.9,165.8,166.3,100432
2026-04-21,2317,鴻海,167.0,167.2,164.1,166.4,114975
2026-04-22,2317,鴻海,167.6,167.9,166.9,167.3,145395
2026-04-23,2317,鴻海,167.3,168.7,166.6,167.4,117122
2026-04-24,2317,鴻海,168.3,169.7,165.4,167.7,138917
2026-04-25,2317,鴻海,173.6,173.7,171.8,172.0,91230
2026-04-14,2454,聯發科,1068.8,1085.9,1066.0,1075.4,10532
2026-04-15,2454,聯發科,1090.7,1094.4,1070.5,1082.7,11598
2026-04-16,2454,聯發科,1084.5,1090.7,1074.2,1086.5,6894
2026-04-17,2454,聯發科,1085.1,1107.3,1084.5,1093.3,6368
2026-04-21,2454,聯發科,1099.0,1102.6,1091.5,1100.2,11509
2026-04-22,2454,聯發科,1094.7,1102.6,1090.5,1099.5,8248
2026-04-23,2454,聯發科,1089.6,1099.3,1080.4,1094.8,5326
2026-04-24,2454,聯發科,1093.3,1106.8,1086.9,1090.7,5480
2026-04-25,2454,聯發科,1105.1,1118.6,1101.9,1110.0,5382
2026-04-14,3711,日月光投控,96.0,96.7,95.7,95.9,32461
2026-04-15,3711,日月光投控,95.2,96.5,94.7,95.5,18748
2026-04-16,3711,日月光投控,96.0,96.2,93.9,95.3,22315
2026-04-17,3711,日月光投控,95.5,95.6,94.4,95.2,40534
2026-04-21,3711,日月光投控,95.6,96.1,93.4,94.8,25152
2026-04-22,3711,日月光投控,94.0,95.9,94.0,95.4,30762
2026-04-23,3711,日月光投控,96.1,96.9,94.8,96.0,23601
2026-04-24,3711,日月光投控,96.4,97.7,95.7,96.3,21974
2026-04-25,3711,日月光投控,98.8,99.8,98.6,99.0,20603
